id,name,categories,difficulty,solved
1490B,"Balanced Remainders","brute force;constructive algorithms;math",1000,16311
1490A,"Dense Array","greedy;math",800,20484
1488J,"Flower Shop","*special problem;data structures;fft;math",3100,8
1488I,"Demonic Invasion","*special problem;flows",3100,15
1488H,"Build From Suffixes","*special problem;combinatorics;data structures",2800,26
1488G,"Painting Numbers","*special problem;data structures;greedy;number theory",2500,67
1488F,"Dogecoin","*special problem;*special problem;binary search;data structures",2300,96
1488E,"Palindromic Doubles","*special problem;data structures;dp",2200,136
1488D,"Problemsolving Marathon","*special problem;binary search;greedy",1900,207
1488C,"Two Policemen","*special problem;binary search;brute force;math",1900,262
1488B,"RBS Deletion","*special problem;greedy",1800,351
1488A,"From Zero To Y","*special problem;math",900,661
1487G,"String Counting","combinatorics;dp;fft;math",2700,326
1487F,"Ones","dp;greedy;shortest paths",2900,202
1487E,"Cheap Dinner","brute force;data structures;graphs;greedy;implementation;sortings;two pointers",2000,2935
1487D,"Pythagorean Triples","binary search;brute force;math;number theory",1500,9525
1487C,"Minimum Ties","brute force;constructive algorithms;dfs and similar;graphs;greedy;implementation;math",1500,8098
1487B,"Cat Cycle","math;number theory",1200,11793
1487A,"Arena","implementation;sortings",800,18651
1486F,"Pairs of Paths","combinatorics;data structures;dfs and similar;dp;trees",2600,347
1486E,"Paired Payment","binary search;brute force;constructive algorithms;dp;flows;graphs;shortest paths",2200,1830
1486D,"Max Median","binary search;data structures;dp",2100,3548
1486C2,"Guessing the Greatest (hard version)","binary search;interactive",1900,5144
1486C1,"Guessing the Greatest (easy version)","binary search;interactive",1600,7087
1486B,"Eastern Exhibition","binary search;geometry;shortest paths;sortings",1500,9986
1486A,"Shifting Stacks","greedy;implementation",900,16949
1485F,"Copy or Prefix Sum","combinatorics;data structures;dp;sortings",2400,1080
1485E,"Move and Swap","dfs and similar;dp;greedy;trees",2500,809
1485D,"Multiples and Power Differences","constructive algorithms;graphs;math;number theory",2200,3352
1485C,"Floor and Mod","binary search;brute force;math;number theory",1700,5876
1485B,"Replace and Keep Sorted","dp;implementation;math",1200,10378
1485A,"Add and Divide","brute force;greedy;math;number theory",1000,13233
1482H,"Exam","data structures;string suffix structures;trees",3400,94
1482G,"Vabank","binary search;interactive",3200,93
1482F,"Useful Edges","graphs;shortest paths",2400,892
1482E,"Skyline Photo","data structures;divide and conquer;dp",2100,1699
1482D,"Playlist","data structures;dsu;implementation;shortest paths",1900,2498
1482C,"Basic Diplomacy","brute force;constructive algorithms;greedy;implementation",1600,5972
1482B,"Restore Modulo","implementation;math",1500,6209
1482A,"Prison Break","math",800,14673
1481F,"AB Tree","dp;greedy;trees",3100,181
1481E,"Sorting Books","data structures;dp;greedy",2500,1259
1481D,"AB Graph","brute force;constructive algorithms;graphs;greedy;implementation",2000,3201
1481C,"Fence Painting","brute force;constructive algorithms;greedy",1600,7471
1481B,"New Colony","brute force;greedy;implementation",1100,14371
1481A,"Space Navigation","greedy;strings",800,19356
1480B,"The Great Hero","greedy;implementation;sortings",900,12372
1480A,"Yet Another String Game","games;greedy;strings",800,18757
1479E,"School Clubs","dp;fft;math;number theory;probabilities",3500,57
1479D,"Odd Mineral Resource","binary search;bitmasks;brute force;data structures;probabilities;trees",2900,386
1479C,"Continuous City","bitmasks;constructive algorithms",2500,880
1479B2,"Painting the Array II","constructive algorithms;data structures;dp;greedy;implementation",2100,2694
1479B1,"Painting the Array I","constructive algorithms;data structures;dp;greedy;implementation",1900,4722
